Source,Transaction_Type,Weight
C1000148617,food,126
C1000148617,health,488
C1000148617,home,134
C1000148617,hotelservices,122
C1000148617,hyper,8
C1000148617,otherservices,199
C1000148617,sportsandtoys,16
C1000148617,tech,110
C1000148617,transportation,3259
C1000148617,wellnessandbeauty,66
C100045114,barsandrestaurants,100
C100045114,fashion,125
C100045114,food,86
C100045114,health,745
C100045114,home,189
C100045114,hotelservices,999
C100045114,hyper,58
C100045114,sportsandtoys,412
C100045114,transportation,1814
C100045114,travel,3902
C100045114,wellnessandbeauty,1362
C1000699316,food,250
C1000699316,health,326
C1000699316,hotelservices,101
C1000699316,hyper,41
C1000699316,otherservices,114
C1000699316,transportation,2266
C1000699316,wellnessandbeauty,445
C1001065306,fashion,74
C1001065306,health,3362
C1001065306,home,1260
C1001065306,sportsandtoys,664
C1001065306,tech,364
C1001065306,wellnessandbeauty,404
C1002658784,barsandrestaurants,146
C1002658784,contents,39
C1002658784,fashion,213
C1002658784,food,141
C1002658784,health,201
C1002658784,home,117
C1002658784,hyper,192
C1002658784,otherservices,71
C1002658784,sportsandtoys,277
C1002658784,tech,42
C1002658784,transportation,2803
C1002658784,wellnessandbeauty,180
C1002759277,barsandrestaurants,83
C1002759277,fashion,111
C1002759277,food,132
C1002759277,hyper,55
C1002759277,sportsandtoys,299
C1002759277,transportation,3773
C1002759277,wellnessandbeauty,176
C1004109477,contents,49
C1004109477,fashion,78
C1004109477,food,130
C1004109477,health,100
C1004109477,home,112
C1004109477,hyper,75
C1004109477,tech,168
C1004109477,transportation,3713
C1004109477,wellnessandbeauty,235
C1004300450,barsandrestaurants,85
C1004300450,fashion,13
C1004300450,food,200
C1004300450,health,284
C1004300450,hyper,12
C1004300450,tech,438
C1004300450,transportation,4306
C1004300450,wellnessandbeauty,626
C1004532392,barsandrestaurants,32
C1004532392,hyper,3
C1004532392,transportation,1903
C1004532392,wellnessandbeauty,189
C1005126300,fashion,251
C1005126300,food,503
C1005126300,health,182
C1005126300,transportation,4098
C1005126300,wellnessandbeauty,206
C1005495267,fashion,55
C1005495267,food,471
C1005495267,health,372
C1005495267,home,300
C1005495267,transportation,3836
C1005495267,wellnessandbeauty,191
C1005806982,barsandrestaurants,170
C1005806982,fashion,43
C1005806982,health,1261
C1005806982,sportsandtoys,31
C1005806982,wellnessandbeauty,247
C1006176917,barsandrestaurants,66
C1006176917,fashion,211
C1006176917,food,111
C1006176917,health,198
C1006176917,hotelservices,1
C1006176917,sportsandtoys,183
C1006176917,transportation,4094
C1006176917,wellnessandbeauty,90
C1007572087,barsandrestaurants,227
C1007572087,fashion,110
C1007572087,food,50
C1007572087,health,924
C1007572087,hotelservices,43
C1007572087,hyper,56
C1007572087,otherservices,122
C1007572087,sportsandtoys,80
C1007572087,transportation,3283
C1007572087,travel,10964
C1007572087,wellnessandbeauty,305
C1007790716,fashion,187
C1007790716,food,377
C1007790716,health,68
C1007790716,transportation,3857
C1007790716,wellnessandbeauty,177
C1008918174,fashion,46
C1008918174,food,171
C1008918174,health,288
C1008918174,home,212
C1008918174,hotelservices,200
C1008918174,sportsandtoys,134
C1008918174,tech,323
C1008918174,transportation,2014
C1008918174,wellnessandbeauty,322
C1009080922,barsandrestaurants,63
C1009080922,food,345
C1009080922,health,113
C1009080922,home,193
C1009080922,hyper,35
C1009080922,tech,179
C1009080922,transportation,4104
C100992504,fashion,59
C100992504,food,493
C100992504,health,708
C100992504,hyper,119
C100992504,tech,210
C100992504,transportation,4019
C100992504,wellnessandbeauty,28
C10105795,barsandrestaurants,38
C10105795,contents,23
C10105795,fashion,251
C10105795,food,395
C10105795,health,570
C10105795,home,173
C10105795,hyper,47
C10105795,tech,121
C10105795,transportation,3812
C10105795,wellnessandbeauty,117
C1010589026,barsandrestaurants,50
C1010589026,fashion,85
C1010589026,food,475
C1010589026,health,1578
C1010589026,hotelservices,60
C1010589026,transportation,3708
C1010589026,wellnessandbeauty,83
C1010865894,barsandrestaurants,59
C1010865894,fashion,55
C1010865894,food,528
C1010865894,health,109
C1010865894,hotelservices,31
C1010865894,hyper,30
C1010865894,sportsandtoys,173
C1010865894,transportation,4146
C1010865894,wellnessandbeauty,168
C1010936270,barsandrestaurants,226
C1010936270,food,79
C1010936270,hyper,181
C1010936270,transportation,3627
C1010936270,wellnessandbeauty,569
C1011693897,barsandrestaurants,134
C1011693897,food,85
C1011693897,health,52
C1011693897,hyper,258
C1011693897,sportsandtoys,143
C1011693897,tech,185
C1011693897,transportation,3890
C1011693897,wellnessandbeauty,191
C1012876398,fashion,49
C1012876398,health,370
C1012876398,sportsandtoys,868
C1012876398,travel,2143
C1012876398,wellnessandbeauty,278
C1013199152,contents,38
C1013199152,fashion,54
C1013199152,food,435
C1013199152,health,620
C1013199152,home,199
C1013199152,hyper,141
C1013199152,otherservices,121
C1013199152,sportsandtoys,358
C1013199152,transportation,2764
C1013199152,wellnessandbeauty,182
C1013313546,barsandrestaurants,10
C1013313546,fashion,213
C1013313546,food,187
C1013313546,health,582
C1013313546,home,590
C1013313546,hyper,14
C1013313546,sportsandtoys,461
C1013313546,transportation,3459
C1013313546,wellnessandbeauty,666
C1014010834,contents,13
C1014010834,fashion,200
C1014010834,food,521
C1014010834,health,654
C1014010834,hotelservices,145
C1014010834,tech,29
C1014010834,transportation,3656
C1014010834,wellnessandbeauty,108
C1014124305,barsandrestaurants,31
C1014124305,food,23
C1014124305,health,83
C1014124305,home,32
C1014124305,hyper,180
C1014124305,sportsandtoys,431
C1014124305,transportation,3924
C1014124305,wellnessandbeauty,45
C1014313887,barsandrestaurants,205
C1014313887,fashion,103
C1014313887,health,473
C1014313887,hyper,142
C1014313887,sportsandtoys,601
C1014313887,transportation,3652
C1014313887,wellnessandbeauty,134
C1014347664,barsandrestaurants,379
C1014347664,fashion,51
C1014347664,food,248
C1014347664,health,374
C1014347664,hotelservices,476
C1014347664,hyper,80
C1014347664,leisure,402
C1014347664,otherservices,100
C1014347664,sportsandtoys,808
C1014347664,tech,37
C1014347664,transportation,3841
C1014347664,wellnessandbeauty,66
C1014783484,fashion,34
C1014783484,food,259
C1014783484,tech,20
C1014783484,transportation,1656
C1014783484,wellnessandbeauty,0
C1014847580,fashion,561
C1014847580,food,441
C1014847580,home,199
C1014847580,hyper,41
C1014847580,tech,153
C1014847580,transportation,3724
C1014847580,wellnessandbeauty,87
C1017469037,barsandrestaurants,40
C1017469037,contents,38
C1017469037,fashion,105
C1017469037,health,139
C1017469037,hotelservices,8
C1017469037,hyper,112
C1017469037,otherservices,61
C1017469037,sportsandtoys,445
C1017469037,transportation,3836
C1017469037,wellnessandbeauty,123
C1017941602,fashion,192
C1017941602,food,169
C1017941602,health,1096
C1017941602,home,1132
C1017941602,otherservices,38
C1017941602,sportsandtoys,154
C1017941602,transportation,3181
C1017941602,wellnessandbeauty,185
C1018153896,barsandrestaurants,57
C1018153896,health,15
C1018153896,home,97
C1018153896,hotelservices,161
C1018153896,hyper,34
C1018153896,leisure,700
C1018153896,transportation,3345
C1018153896,wellnessandbeauty,83
C1018388493,contents,1
C1018388493,food,377
C1018388493,health,425
C1018388493,hyper,52
C1018388493,tech,216
C1018388493,transportation,3893
C1018388493,wellnessandbeauty,402
C1018653381,barsandrestaurants,52
C1018653381,fashion,2
C1018653381,food,283
C1018653381,health,1233
C1018653381,hyper,21
C1018653381,otherservices,14
C1018653381,transportation,3118
C1018653381,wellnessandbeauty,353
C1018783569,barsandrestaurants,64
C1018783569,food,158
C1018783569,health,842
C1018783569,home,237
C1018783569,hyper,107
C1018783569,otherservices,67
