Source,Transaction_Type,Weight
C1000148617,food,0.12303149606299213
C100045114,food,0.08366141732283465
C1000699316,food,0.24507874015748032
C1002658784,food,0.1377952755905512
C1002759277,food,0.12893700787401574
C1004109477,food,0.12696850393700787
C1004300450,food,0.19586614173228348
C1005126300,food,0.4940944881889764
C1005495267,food,0.4625984251968504
C1006176917,food,0.10826771653543307
C1007572087,food,0.04822834645669291
C1007790716,food,0.3700787401574803
C1008918174,food,0.1673228346456693
C1009080922,food,0.33858267716535434
C100992504,food,0.484251968503937
C10105795,food,0.38779527559055116
C1010589026,food,0.46653543307086615
C1010865894,food,0.5187007874015748
C1010936270,food,0.07677165354330709
C1011693897,food,0.08267716535433071
C1013199152,food,0.4271653543307087
C1013313546,food,0.1830708661417323
C1014010834,food,0.5118110236220472
C1014124305,food,0.021653543307086614
C1014347664,food,0.24311023622047245
C1014783484,food,0.25393700787401574
C1014847580,food,0.4330708661417323
C1017941602,food,0.16535433070866143
C1018388493,food,0.3700787401574803
C1018653381,food,0.27755905511811024
C1018783569,food,0.1545275590551181
C1018979501,food,0.24606299212598426
C1019071188,food,0.37893700787401574
C1019678929,food,0.1673228346456693
C102010508,food,0.36220472440944884
C1020192133,food,0.23326771653543307
C1020355960,food,0.5226377952755905
C1021409246,food,0.07381889763779527
C1022153336,food,0.1919291338582677
C1022530210,food,0.14763779527559054
C102256008,food,0.4202755905511811
C1022713215,food,0.24606299212598426
C102364766,food,0.1486220472440945
C1023694383,food,0.2106299212598425
C1023803355,food,0.19881889763779528
C1025104996,food,0.28937007874015747
C10263180,food,0.24114173228346455
C1027777422,food,0.5452755905511811
C1028143403,food,0.5826771653543307
C1028995887,food,0.03937007874015748
C1029994689,food,0.26476377952755903
C1030484150,food,0.19488188976377951
C1030975170,food,0.3838582677165354
C1031698099,food,0.2234251968503937
C1032319289,food,0.3484251968503937
C103240070,food,0.23818897637795275
C1032715879,food,0.04822834645669291
C1033416330,food,0.2992125984251969
C1033736586,food,0.1919291338582677
C1033848759,food,0.22736220472440946
C1034685704,food,0.359251968503937
C1035222482,food,0.11614173228346457
C1035581047,food,0.2755905511811024
C1035666255,food,0.40551181102362205
C1035681921,food,0.37303149606299213
C1037161656,food,0.23818897637795275
C1038215695,food,0.1919291338582677
C1038277619,food,0.015748031496062992
C1038329920,food,0.33661417322834647
C1038722314,food,0.10334645669291338
C1038733568,food,0.3021653543307087
C1038879380,food,0.031496062992125984
C1038996959,food,0.4566929133858268
C1039035065,food,0.3543307086614173
C1039748502,food,0.08464566929133858
C1040272582,food,0.328740157480315
C1040303644,food,0.22440944881889763
C1040405455,food,0.11318897637795275
C1040980271,food,0.18110236220472442
C1043282651,food,0.17224409448818898
C1043677034,food,0.3927165354330709
C104392148,food,0.4251968503937008
C1043944424,food,0.4714566929133858
C1045214627,food,0.5688976377952756
C1045324088,food,0.14960629921259844
C1045652139,food,0.42322834645669294
C1045850211,food,0.3956692913385827
C1046896257,food,0.021653543307086614
C1047374909,food,0.12303149606299213
C1047521541,food,0.18208661417322836
C1048588440,food,0.37303149606299213
C1048694975,food,0.297244094488189
C1049562739,food,0.19389763779527558
C1049957303,food,0.6643700787401575
C105013970,food,0.027559055118110236
C1050458046,food,0.42913385826771655
C1050663079,food,0.3828740157480315
C1051356798,food,0.25393700787401574
C1051682954,food,0.2578740157480315
C1051712338,food,0.08070866141732283
C1053477622,food,0.22933070866141733
C1054818236,food,0.1968503937007874
C1055164842,food,0.2755905511811024
C1056476734,food,0.25196850393700787
C1056640661,food,0.4438976377952756
C1057259459,food,0.3090551181102362
C1057285507,food,0.060039370078740155
C1057813963,food,0.609251968503937
C1058213633,food,0.1062992125984252
C1058652489,food,0.13976377952755906
C1058785965,food,0.06496062992125984
C1059534096,food,0.2687007874015748
C1059874896,food,0.4793307086614173
C1060018471,food,0.3297244094488189
C1060120913,food,0.42913385826771655
C1060270098,food,0.07874015748031496
C1060470494,food,0.38484251968503935
C106333716,food,0.6702755905511811
C1063753312,food,0.34744094488188976
C106397937,food,0.3051181102362205
C1066456457,food,0.41732283464566927
C1067134113,food,0.2106299212598425
C1067165398,food,0.38779527559055116
C1067668919,food,0.058070866141732284
C1067734462,food,0.13681102362204725
C1068772542,food,0.28346456692913385
C106931168,food,0.05511811023622047
C1069635670,food,0.05216535433070866
C1069648311,food,0.21358267716535434
C1070277785,food,0.03641732283464567
C1070471979,food,0.49901574803149606
C107125195,food,0.3720472440944882
C1072166767,food,0.18700787401574803
C1072577677,food,0.5492125984251969
C1073067421,food,0.29232283464566927
C1073155388,food,0.41141732283464566
C1073865173,food,0.13976377952755906
C1074203200,food,0.3543307086614173
C107438779,food,0.15059055118110237
C10745331,food,0.19783464566929135
C1075692577,food,0.19094488188976377
C1075787773,food,0.26673228346456695
C1076053396,food,0.33562992125984253
C1076110991,food,0.18208661417322836
C1078316853,food,0.21456692913385828
C1078351181,food,0.21948818897637795
C1078596280,food,0.06200787401574803
C1079254393,food,0.5019685039370079
C1079965849,food,0.028543307086614175
C1080032135,food,0.13385826771653545
C1080719046,food,0.025590551181102362
C1081618305,food,0.21358267716535434
C1081944543,food,0.5836614173228346
C1082462651,food,0.610236220472441
C1082594377,food,0.2549212598425197
C1082608644,food,0.4645669291338583
C108266856,food,0.5708661417322834
C1082732879,food,0.35039370078740156
C1082769360,food,0.038385826771653545
C1083375349,food,0.4438976377952756
C1083859927,food,0.11318897637795275
C1084001812,food,0.24114173228346455
C1084672760,food,0.4360236220472441
C1085056650,food,0.14960629921259844
C1085689043,food,0.18799212598425197
C1086957388,food,0.11023622047244094
C1087227796,food,0.08070866141732283
C1087747329,food,0.35334645669291337
C1087788850,food,0.4005905511811024
C1087943403,food,0.19783464566929135
C108794529,food,0.6929133858267716
C1088464518,food,0.17519685039370078
C1088768738,food,0.6348425196850394
C108940648,food,0.4891732283464567
C1089789227,food,0.16929133858267717
C1089848865,food,0.22145669291338582
C1089903335,food,0.21358267716535434
C1090046399,food,0.4625984251968504
C1090528803,food,0.28641732283464566
C1090604904,food,0.1141732283464567
C1091680547,food,0.43996062992125984
C1091966081,food,0.22244094488188976
C1092512638,food,0.3188976377952756
C1092769857,food,0.390748031496063
C1093060677,food,0.15649606299212598
C1093842718,food,0.18503937007874016
C1095241409,food,0.2470472440944882
C1095604325,food,0.30708661417322836
C1095821033,food,0.43700787401574803
C109617474,food,0.20866141732283464
C109634232,food,0.09547244094488189
C1096642744,food,0.19488188976377951
C1097812196,food,0.4311023622047244
C1098012335,food,0.4655511811023622
C1098443227,food,0.1279527559055118
C109947606,food,0.36515748031496065
C1100053869,food,0.3425196850393701
C1100276718,food,0.07578740157480315
C1100289413,food,0.045275590551181105
C1100337763,food,0.38779527559055116
C1100361227,food,0.15846456692913385
C1100510913,food,0.7736220472440944
C1100570635,food,0.3779527559055118
C1101213728,food,0.3858267716535433
C1101433185,food,0.22736220472440946
C1101722853,food,0.5275590551181102
C1102156492,food,0.2076771653543307
C1102464953,food,0.2933070866141732
C1104044396,food,0.3405511811023622
C1104967901,food,0.3494094488188976
C1105086283,food,0.3159448818897638
C1107442215,food,0.3631889763779528
