Source,Transaction_Type,Weight
C100045114,barsandrestaurants,0.17699115
C100045114,fashion,0.17831669
C1001065306,fashion,0.105563481
C1002658784,barsandrestaurants,0.25840708
C1002658784,fashion,0.303851641
C1002759277,barsandrestaurants,0.146902655
C1002759277,fashion,0.158345221
C1004109477,fashion,0.111269615
C1004300450,barsandrestaurants,0.150442478
C1004300450,fashion,0.018544936
C1004532392,barsandrestaurants,0.056637168
C1005126300,fashion,0.358059914
C1005495267,fashion,0.078459344
C1005806982,fashion,0.061340942
C1006176917,barsandrestaurants,0.116814159
C1006176917,fashion,0.300998573
C1007572087,barsandrestaurants,0.401769912
C1007572087,fashion,0.156918688
C1007790716,fashion,0.266761769
C1008918174,fashion,0.065620542
C1009080922,barsandrestaurants,0.111504425
C100992504,fashion,0.084165478
C10105795,barsandrestaurants,0.067256637
C10105795,fashion,0.358059914
C1010589026,barsandrestaurants,0.088495575
C1010589026,fashion,0.12125535
C1010865894,barsandrestaurants,0.104424779
C1010865894,fashion,0.078459344
C1010936270,barsandrestaurants,0.4
C1011693897,barsandrestaurants,0.237168142
C1012876398,fashion,0.069900143
C1013199152,fashion,0.07703281
C1013313546,barsandrestaurants,0.017699115
C1013313546,fashion,0.303851641
C1014010834,fashion,0.285306705
C1014124305,barsandrestaurants,0.054867257
C1014313887,barsandrestaurants,0.362831858
C1014313887,fashion,0.146932953
C1014347664,barsandrestaurants,0.184070796
C1014347664,fashion,0.07275321
C1014783484,fashion,0.04850214
C1014847580,fashion,0.800285307
C1017469037,barsandrestaurants,0.07079646
C1017469037,fashion,0.14978602
C1017941602,fashion,0.273894437
C1018153896,barsandrestaurants,0.100884956
C1018653381,barsandrestaurants,0.092035398
C1018653381,fashion,0.002853067
C1018783569,barsandrestaurants,0.113274336
C1018979501,barsandrestaurants,0.346902655
C1018979501,fashion,0.054208274
C1019071188,barsandrestaurants,0.113274336
C1019071188,fashion,0.35235378
C1019678929,barsandrestaurants,0.024778761
C1019678929,fashion,0.118402282
C1020019215,barsandrestaurants,0.060176991
C1020019215,fashion,0.429386591
C102010508,barsandrestaurants,0.205309735
C102010508,fashion,0.261055635
C1020192133,fashion,0.629101284
C1020355960,fashion,0.07703281
C1021409246,fashion,0.049928673
C1021896897,barsandrestaurants,0.180530973
C1021896897,fashion,0.313837375
C1022153336,barsandrestaurants,0.083185841
C1022153336,fashion,0.330955777
C1022530210,barsandrestaurants,0.095575221
C1022530210,fashion,0.095577746
C102256008,fashion,0.249643367
C1022713215,barsandrestaurants,0.107964602
C102364766,barsandrestaurants,0.336283186
C102364766,fashion,0.278174037
C1023694383,fashion,0.279600571
C1023803355,barsandrestaurants,0.037168142
C1023803355,fashion,0.022824536
C1025104996,fashion,0.375178317
C10263180,barsandrestaurants,0.300884956
C10263180,fashion,0.045649073
C1027777422,barsandrestaurants,0.10619469
C1028143403,fashion,0.109843081
C1028995887,fashion,0.102710414
C1029994689,barsandrestaurants,0.056637168
C1029994689,fashion,0.208273894
C1030484150,barsandrestaurants,0.145132743
C1030484150,fashion,0.261055635
C1030975170,fashion,0.335235378
C1031698099,fashion,0.7489301
C1032319289,fashion,0.185449358
C103240070,barsandrestaurants,0.046017699
C103240070,fashion,0.582025678
C1032715879,barsandrestaurants,0.520353982
C1032715879,fashion,0.309557775
C1033416330,barsandrestaurants,0.104424779
C1033416330,fashion,0.248216833
C1033736586,barsandrestaurants,0.203539823
C1033848759,barsandrestaurants,0.033628319
C1033848759,fashion,0.285306705
C1034685704,barsandrestaurants,0.077876106
C1035222482,barsandrestaurants,0.175221239
C1035581047,fashion,0.255349501
C1035666255,barsandrestaurants,0.047787611
C1035666255,fashion,0.194008559
C1036903280,barsandrestaurants,0.081415929
C1036903280,fashion,0.069900143
C1037161656,barsandrestaurants,0.210619469
C1037161656,fashion,0.114122682
C1037622786,barsandrestaurants,0.279646018
C1038215695,fashion,0.004279601
C1038329920,barsandrestaurants,0.077876106
C1038722314,barsandrestaurants,0.047787611
C1038722314,fashion,0
C1038733568,barsandrestaurants,0.410619469
C1038733568,fashion,0.128388017
C1038879380,barsandrestaurants,0.120353982
C1038879380,fashion,0.195435093
C1038996959,barsandrestaurants,0.02300885
C1038996959,fashion,0.129814551
C1039035065,barsandrestaurants,0.426548673
C1039035065,fashion,0.051355207
C1039390058,barsandrestaurants,0.184070796
C1039748502,barsandrestaurants,0.476106195
C1039748502,fashion,0.330955777
C103995111,barsandrestaurants,0.037168142
C103995111,fashion,0.168330956
C1040272582,barsandrestaurants,0.182300885
C1040272582,fashion,0.309557775
C1040303644,fashion,0.047075606
C1040405455,barsandrestaurants,0.088495575
C1040405455,fashion,0.492154066
C1040980271,fashion,0.041369472
C1043282651,barsandrestaurants,0.343362832
C1043282651,fashion,0.041369472
C1043677034,barsandrestaurants,0.178761062
C104392148,barsandrestaurants,0.155752212
C104392148,fashion,0.014265335
C1043944424,barsandrestaurants,0.042477876
C1043944424,fashion,0.184022825
C1045214627,barsandrestaurants,0.090265487
C1045214627,fashion,0.184022825
C1045324088,barsandrestaurants,0.024778761
C1045324088,fashion,0.2510699
C1045652139,barsandrestaurants,0.05840708
C1045652139,fashion,0.085592011
C1045850211,fashion,0.166904422
C1046896257,barsandrestaurants,0.387610619
C1046896257,fashion,0.032810271
C1047374909,barsandrestaurants,0.22300885
C1047521541,barsandrestaurants,0.054867257
C1048588440,fashion,0.035663338
C1048694975,barsandrestaurants,0.053097345
C1049562739,barsandrestaurants,0.10619469
C1049562739,fashion,0.395149786
C1049957303,fashion,0.216833096
C105013970,barsandrestaurants,0.456637168
C105013970,fashion,0.184022825
C1050458046,fashion,0.532097004
C1050663079,barsandrestaurants,0.127433628
C1050663079,fashion,0.151212553
C1050807234,barsandrestaurants,0.585840708
C1050807234,fashion,0.022824536
C1051356798,fashion,0.171184023
C1051682954,barsandrestaurants,0.323893805
C1051682954,fashion,0.10128388
C1051712338,barsandrestaurants,0.189380531
C1051712338,fashion,0.410841655
C1051985937,fashion,0.165477889
C1053477622,barsandrestaurants,0.061946903
C1053477622,fashion,0.242510699
C1054818236,barsandrestaurants,0.251327434
C1054818236,fashion,0.409415121
C1055164842,fashion,0.196861626
C1055224400,barsandrestaurants,0.180530973
C1055224400,fashion,0.154065621
C1056476734,barsandrestaurants,0.076106195
C1056476734,fashion,0.172610556
C1056640661,barsandrestaurants,0.001769912
C1056640661,fashion,0.353780314
C1057259459,barsandrestaurants,0.178761062
C1057259459,fashion,0.029957204
C1057285507,barsandrestaurants,0.019469027
C1057285507,fashion,0.05278174
C1057813963,barsandrestaurants,0.077876106
C1057813963,fashion,0.333808845
C1058213633,fashion,0.002853067
C105845174,barsandrestaurants,0.044247788
C1058652489,fashion,0.706134094
C1058785965,barsandrestaurants,0.226548673
C1059534096,fashion,0.184022825
C1059874896,barsandrestaurants,0.224778761
C1059874896,fashion,0.158345221
C1060018471,barsandrestaurants,0.028318584
C1060120913,barsandrestaurants,0.111504425
C1060270098,barsandrestaurants,0.12920354
C106333716,barsandrestaurants,0.168141593
C106333716,fashion,0.215406562
C1063753312,barsandrestaurants,0.072566372
C106397937,barsandrestaurants,0.060176991
C1065812935,fashion,0.158345221
C1066003783,fashion,0.067047076
C1067134113,barsandrestaurants,0.145132743
C1067134113,fashion,0.155492154
C1067165398,fashion,0.156918688
C1067668919,barsandrestaurants,0.205309735
C1067668919,fashion,0.061340942
C1067734462,barsandrestaurants,0.007079646
C1068772542,barsandrestaurants,0.214159292
C1068772542,fashion,0.269614836
C106931168,barsandrestaurants,0.274336283
C106931168,fashion,0.044222539
C1069635670,barsandrestaurants,0.30619469
C1069635670,fashion,0.162624822
C1070277785,barsandrestaurants,0.313274336
C1070471979,fashion,0.263908702
C107125195,barsandrestaurants,0.074336283
C107125195,fashion,0.002853067
C1072166767,fashion,0.225392297
C1072577677,fashion,0.007132668
C1073067421,fashion,0.12125535
C1073155388,fashion,0.12125535
C1073865173,fashion,0.044222539
C1074203200,fashion,0.004279601
C107438779,barsandrestaurants,0.104424779
C107438779,fashion,0.279600571
C10745331,barsandrestaurants,0.162831858
C10745331,fashion,0.039942939
C1075692577,barsandrestaurants,0.044247788
C1075692577,fashion,0.07275321
C1076053396,barsandrestaurants,0.196460177
C1076053396,fashion,0.04850214
C1076110991,barsandrestaurants,0.053097345
C1076110991,fashion,0.22253923
C1077245673,barsandrestaurants,0.424778761
C1078316853,barsandrestaurants,0.261946903
C1078316853,fashion,0.114122682
C1078351181,fashion,0.047075606
C1079254393,fashion,0.330955777
C1079965849,barsandrestaurants,0.10619469
C1079965849,fashion,0.017118402
C1080032135,barsandrestaurants,0.099115044
C1080032135,fashion,0.062767475
C1080719046,barsandrestaurants,0.086725664
C1080719046,fashion,0.059914408
C1080813886,barsandrestaurants,0.044247788
C1082301057,fashion,0.148359486
C1082462651,fashion,0.126961484
C1082594377,barsandrestaurants,0.25840708
C1082608644,fashion,0.134094151
C108266856,barsandrestaurants,0.056637168
C108266856,fashion,0.068473609
C1082732879,barsandrestaurants,0.191150442
C1082769360,barsandrestaurants,0.231858407
C1082769360,fashion,0.099857347
C1083375349,fashion,0.005706134
C1083859927,barsandrestaurants,0.14159292
C1083859927,fashion,0.054208274
C1084001812,barsandrestaurants,0.162831858
C1084001812,fashion,0.186875892
C1084672760,barsandrestaurants,0.116814159
C1084672760,fashion,0.064194009
C1085056650,barsandrestaurants,0.237168142
C1085056650,fashion,0.05278174
C1085689043,barsandrestaurants,0.063716814
C1086957388,barsandrestaurants,0.346902655
C1086957388,fashion,0.124108417
C1087747329,barsandrestaurants,0.030088496
C1087747329,fashion,0.186875892
C1087788850,barsandrestaurants,0.315044248
C1087943403,barsandrestaurants,0.184070796
C108794529,barsandrestaurants,0.290265487
C108794529,fashion,0.465049929
C1088464518,barsandrestaurants,0.292035398
C1088768738,barsandrestaurants,0.194690265
C1088768738,fashion,0.062767475
C1088853847,barsandrestaurants,0.196460177
C1088853847,fashion,0.109843081
C108940648,fashion,0.302425107
C1089789227,fashion,0.483594864
C1089848865,fashion,0.263908702
C1089903335,barsandrestaurants,0.024778761
C1089903335,fashion,0.075606277
C1090046399,barsandrestaurants,0.001769912
C1090046399,fashion,0.094151213
C1090528803,barsandrestaurants,0.132743363
C1090528803,fashion,0.203994294
C1090604904,barsandrestaurants,0.272566372
C1091680547,barsandrestaurants,0.010619469
C1091966081,barsandrestaurants,0.102654867
C1091966081,fashion,0.034236805
C1092512638,fashion,0.415121255
C1092769857,barsandrestaurants,0.217699115
C1092769857,fashion,0.203994294
C1093060677,barsandrestaurants,0.148672566
C1093060677,fashion,0.139800285
C1093826151,barsandrestaurants,0.159292035
C1093842718,barsandrestaurants,0.178761062
C1095087737,barsandrestaurants,0.109734513
C1095087737,fashion,0.089871612
C1095604325,fashion,0.148359486
C1095821033,barsandrestaurants,0.031858407
C109617474,barsandrestaurants,0.198230088
C109617474,fashion,0.04850214
C109634232,barsandrestaurants,0.247787611
C109634232,fashion,0.291012839
C1096642744,fashion,0.549215407
C1097812196,barsandrestaurants,0.081415929
C1097812196,fashion,0.345221113
C1098012335,barsandrestaurants,0.076106195
C1098012335,fashion,0.088445078
C1098443227,barsandrestaurants,0.253097345
C1098443227,fashion,0.42510699
C109947606,fashion,0.151212553
C1100053869,barsandrestaurants,0.074336283
C1100053869,fashion,0.583452211
C1100276718,barsandrestaurants,0.523893805
C1100289413,barsandrestaurants,0.394690265
C1100289413,fashion,0.10128388
C1100337763,fashion,0.229671897
C1100361227,barsandrestaurants,0.185840708
C1100361227,fashion,0.05278174
C1100570635,barsandrestaurants,0.100884956
C1100570635,fashion,0.031383738
C1101213728,barsandrestaurants,0.053097345
C1101213728,fashion,0.092724679
C1101433185,barsandrestaurants,0.021238938
C1101633489,barsandrestaurants,0.207079646
C1101722853,fashion,0.485021398
C1102156492,barsandrestaurants,0.086725664
C1102156492,fashion,0.166904422
C1102464953,barsandrestaurants,0.079646018
C1102464953,fashion,0.035663338
C1104044396,barsandrestaurants,0.07079646
C1104967901,barsandrestaurants,0.217699115
C1104967901,fashion,0.47788873
C1105086283,barsandrestaurants,0.047787611
C1107442215,barsandrestaurants,0.173451327
C1107580024,barsandrestaurants,0.092035398
C1107580024,fashion,0.037089872
C1108226372,barsandrestaurants,0.127433628
C1108226372,fashion,0.017118402
C1108787528,barsandrestaurants,0.155752212
C1108967401,barsandrestaurants,0.001769912
C1108967401,fashion,0.306704708
C1110919755,barsandrestaurants,0.074336283
C1110919755,fashion,0.047075606
C11116138,barsandrestaurants,0.028318584
C11116138,fashion,0.393723252
C111217068,barsandrestaurants,0.081415929
C1112424232,barsandrestaurants,0.054867257
C1112424232,fashion,0.229671897
C1113166893,fashion,0.02425107
C1114643543,fashion,0.057061341
C1114685649,barsandrestaurants,0.024778761
C1114685649,fashion,0.041369472
C1116417172,barsandrestaurants,0.084955752
C1116417172,fashion,0.165477889
C111678629,fashion,0.02425107
C1117259261,barsandrestaurants,0.254867257
C1117294574,barsandrestaurants,0.097345133
C1117294574,fashion,0.021398003
C1117403153,barsandrestaurants,0.762831858
C1118932469,barsandrestaurants,0.086725664
C1118932469,fashion,0.235378031
C1118984324,barsandrestaurants,0.23539823
C1118984324,fashion,0.19828816
C1120165888,barsandrestaurants,0.115044248
C1122213892,barsandrestaurants,0.207079646
C1122213892,fashion,0.282453638
C1122303126,barsandrestaurants,0.166371681
C1122835446,fashion,0.04850214
C1123042802,barsandrestaurants,0.102654867
C1123042802,fashion,0.022824536
C1123627503,fashion,0.29957204
C1124449361,barsandrestaurants,0.265486726
C1124449361,fashion,0.233951498
C1124718683,barsandrestaurants,0.069026549
C1125132707,barsandrestaurants,0.079646018
C1125132707,fashion,0.07275321
C1125832994,fashion,0.138373752
C1126112663,barsandrestaurants,0.407079646
C1126112663,fashion,0.012838802
C1126297464,fashion,0.138373752
C1127069069,barsandrestaurants,0.196460177
C1127069069,fashion,0.166904422
C1127607634,barsandrestaurants,0.077876106
C1127607634,fashion,0.144079886
C1127983201,fashion,0.031383738
C1128349548,barsandrestaurants,0.136283186
C1128965136,fashion,0.312410842
C1129111658,barsandrestaurants,0.092035398
C1129111658,fashion,0.253922967
C1129265408,barsandrestaurants,0.065486726
C1129265408,fashion,0.308131241
C1129461636,barsandrestaurants,0.150442478
C1129461636,fashion,0.049928673
C1129737137,barsandrestaurants,0.030088496
C1129737137,fashion,0.32810271
C1130259702,barsandrestaurants,0.318584071
C1130847219,barsandrestaurants,0.203539823
C1130847219,fashion,0.309557775
C1131883667,fashion,0.17403709
C1132392725,fashion,0.326676177
C1132565589,barsandrestaurants,0.116814159
C1132565589,fashion,0.329529244
C113294083,barsandrestaurants,0.001769912
C113294083,fashion,0.067047076
C1133298590,barsandrestaurants,0.233628319
C1133298590,fashion,0.091298146
C1133386558,barsandrestaurants,0.003539823
C1133386558,fashion,0.188302425
C1133451243,barsandrestaurants,0.251327434
C1133451243,fashion,0.47788873
C1134229140,barsandrestaurants,0.231858407
C1134229140,fashion,0.042796006
C1134333439,barsandrestaurants,0.046017699
C1134533551,barsandrestaurants,0.063716814
C1134533551,fashion,0.051355207
C1134994937,fashion,0.342368046
C1135201785,barsandrestaurants,0.127433628
C1135201785,fashion,0.078459344
C1135495199,barsandrestaurants,0.169911504
C1135495199,fashion,0.069900143
C1135867657,barsandrestaurants,0.224778761
C1135867657,fashion,0.313837375
C1136643517,barsandrestaurants,0.090265487
C1136643517,fashion,0.004279601
C1136859577,fashion,0.164051355
C1137292670,barsandrestaurants,0.053097345
C1137292670,fashion,0.403708987
C1139909458,barsandrestaurants,0.053097345
C1139909458,fashion,0.159771755
C1139944236,barsandrestaurants,0.256637168
C1139944236,fashion,0.186875892
C1140073765,barsandrestaurants,0.03539823
C1140073765,fashion,0.069900143
C1140809068,barsandrestaurants,0.25840708
C1140809068,fashion,0.02425107
C1141481813,barsandrestaurants,0.084955752
C1141524074,barsandrestaurants,0.017699115
C1141582476,barsandrestaurants,0.182300885
C1141582476,fashion,0.430813124
C1142118359,barsandrestaurants,0.088495575
C1142118359,fashion,0.012838802
C1142956269,barsandrestaurants,0.069026549
C1142956269,fashion,0.035663338
C1143297842,barsandrestaurants,0.014159292
C1143300850,barsandrestaurants,0.090265487
C1143300850,fashion,0.041369472
C1143401925,fashion,0.283880171
C114388565,barsandrestaurants,0.028318584
C114388565,fashion,0.62339515
C1145304322,barsandrestaurants,0.198230088
C11453786,barsandrestaurants,0.143362832
C11453786,fashion,0.078459344
C1146143839,fashion,0.119828816
C1147125608,barsandrestaurants,0.29380531
C1147125608,fashion,0.054208274
C1147973334,barsandrestaurants,0.207079646
C1147973334,fashion,0.243937233
C1148364854,barsandrestaurants,0.277876106
C1148635270,fashion,0.082738944
C1148771999,barsandrestaurants,0.297345133
C1148772789,barsandrestaurants,0.063716814
C1148772789,fashion,0.112696148
C1149179033,barsandrestaurants,0.113274336
C114981535,fashion,0.272467903
C1149893807,fashion,0.106990014
C1150646122,barsandrestaurants,0.07079646
C1150646122,fashion,0.429386591
C1151051721,fashion,0.614835949
C1151600429,fashion,0.158345221
C1151799720,barsandrestaurants,0.4
C1152092987,barsandrestaurants,0.065486726
C1152092987,fashion,0.068473609
C1152356495,fashion,0.015691869
C1152835627,fashion,0.007132668
C1153569753,barsandrestaurants,0.251327434
C1153792315,barsandrestaurants,0.054867257
C1153943594,barsandrestaurants,0.138053097
C1153943594,fashion,0.322396576
C1154612561,fashion,0.091298146
C1154631581,barsandrestaurants,0.362831858
C1155259690,barsandrestaurants,0.079646018
C1155259690,fashion,0.145506419
C115540448,fashion,0.380884451
C1155962240,fashion,0.025677603
C115603187,barsandrestaurants,0.313274336
C115603187,fashion,0.238231098
C1156188729,barsandrestaurants,0.021238938
C1156346576,barsandrestaurants,0.309734513
C1156399058,fashion,0.031383738
C1156509589,barsandrestaurants,0.046017699
C1156509589,fashion,0.145506419
C1156672988,fashion,0.009985735
C1156745710,fashion,0.165477889
C1156808163,barsandrestaurants,0.038938053
C1156808163,fashion,0.015691869
C1156885344,fashion,0.432239658
C1158029630,barsandrestaurants,0.309734513
C1158029630,fashion,0.094151213
C1158233054,barsandrestaurants,0.138053097
C1158646143,barsandrestaurants,0.279646018
C1158738757,fashion,0.385164051
C1158875335,barsandrestaurants,0.122123894
C1158875335,fashion,0.07703281
C1159034982,barsandrestaurants,0.621238938
C1159406873,barsandrestaurants,0.299115044
C1159406873,fashion,0.556348074
C115986226,barsandrestaurants,0.037168142
C115986226,fashion,0.245363766
C1160118068,barsandrestaurants,0.076106195
C1160118068,fashion,0.281027104
C1160421902,barsandrestaurants,0.136283186
C1161671147,barsandrestaurants,0.332743363
C1161927918,barsandrestaurants,0.451327434
C1161949399,barsandrestaurants,0.005309735
C1161949399,fashion,0.054208274
C1163388474,barsandrestaurants,0.180530973
C1163388474,fashion,0.007132668
C1163635747,barsandrestaurants,0.168141593
C1163804561,barsandrestaurants,0.067256637
C1163804561,fashion,0.114122682
C116386695,barsandrestaurants,0.122123894
C116386695,fashion,0.019971469
C1164613439,fashion,0.075606277
C1165343027,barsandrestaurants,0.180530973
C1165343027,fashion,0.038516405
C1166075201,barsandrestaurants,0.430088496
C1166337448,barsandrestaurants,0.030088496
C1166337448,fashion,0.038516405
C1166355595,barsandrestaurants,0.005309735
C1166355595,fashion,0.268188302
C116665031,barsandrestaurants,0.134513274
C116665031,fashion,0.17831669
C1166683343,barsandrestaurants,0.054867257
C1166683343,fashion,0.168330956
C11668910,barsandrestaurants,0.038938053
C11668910,fashion,0.037089872
C1167781928,barsandrestaurants,0.044247788
C1169655012,barsandrestaurants,0.083185841
C1169771418,fashion,0.475035663
C1170049298,fashion,0.002853067
C117112395,barsandrestaurants,0.100884956
C1171394321,barsandrestaurants,0.180530973
C1171394321,fashion,0.203994294
C1171622243,barsandrestaurants,0.292035398
C1171622243,fashion,0.038516405
C1173530601,fashion,0.245363766
C1174105749,barsandrestaurants,0.214159292
C1174105749,fashion,0.165477889
C1174217921,barsandrestaurants,0.033628319
C1174217921,fashion,0.368045649
C1174416804,barsandrestaurants,0.166371681
C1174416804,fashion,0.037089872
C1174735331,barsandrestaurants,0.038938053
C1174735331,fashion,0.131241084
C1175419672,fashion,0.154065621
C1175684338,barsandrestaurants,0.069026549
C1175684338,fashion,0.005706134
C117577408,barsandrestaurants,0.061946903
C1175850429,fashion,0.062767475
C1176114065,barsandrestaurants,0.09380531
C1176114065,fashion,0.081312411
C1177478758,fashion,0.004279601
C1177926954,barsandrestaurants,0.256637168
C1177926954,fashion,0.2467903
C1178005728,barsandrestaurants,0.212389381
C1178005728,fashion,0.282453638
C1179217322,barsandrestaurants,0.267256637
C1179217322,fashion,0.111269615
C1179833140,fashion,0.166904422
C1180570487,barsandrestaurants,0.148672566
C1180570487,fashion,0.560627675
C1180936672,barsandrestaurants,0.061946903
C1181615831,barsandrestaurants,0.097345133
C1181615831,fashion,0.300998573
C1182534509,barsandrestaurants,0.044247788
C1182534509,fashion,0.041369472
C1182825160,barsandrestaurants,0.076106195
C1182825160,fashion,0.560627675
C118437987,fashion,0.037089872
C1186894186,barsandrestaurants,0.214159292
C1186953291,barsandrestaurants,0.102654867
C1186953291,fashion,0.131241084
C1187702596,fashion,0.087018545
C1187730955,barsandrestaurants,0.208849558
C1187799344,barsandrestaurants,0.191150442
C1187979419,barsandrestaurants,0.127433628
C118836015,barsandrestaurants,0.166371681
C1188590334,barsandrestaurants,0.318584071
C1189224644,barsandrestaurants,0.488495575
C1189224644,fashion,0.17403709
C1189367947,barsandrestaurants,0.051327434
C1189752912,barsandrestaurants,0.449557522
C1189752912,fashion,0.667617689
C1190687128,barsandrestaurants,0.081415929
C1190687128,fashion,0.164051355
C1191069340,barsandrestaurants,0.16460177
C1191069340,fashion,0.049928673
C1191796691,barsandrestaurants,0.054867257
C1191796691,fashion,0.055634807
C1191832390,barsandrestaurants,0.322123894
C1192557067,barsandrestaurants,0.024778761
C1192557067,fashion,0.176890157
C119274188,barsandrestaurants,0.180530973
C119274188,fashion,0.049928673
C1192754222,barsandrestaurants,0.145132743
C1192754222,fashion,0.005706134
C1192874833,barsandrestaurants,0.024778761
C1192874833,fashion,0.114122682
C1193034305,barsandrestaurants,0.346902655
C1193034305,fashion,0.099857347
C1193582671,barsandrestaurants,0.292035398
C1194290880,fashion,0.051355207
C1194320883,barsandrestaurants,0.178761062
C1194320883,fashion,0.134094151
C119537158,barsandrestaurants,0.127433628
C119537158,fashion,0.20256776
C1195893546,fashion,0.32810271
C1196149230,barsandrestaurants,0.088495575
C1196149230,fashion,0.094151213
C1196357413,barsandrestaurants,0.244247788
C1196579721,barsandrestaurants,0.153982301
C1196579721,fashion,0.109843081
C1196611038,fashion,0.281027104
C1196808546,barsandrestaurants,0.084955752
C1196808546,fashion,0.12125535
C1196915447,barsandrestaurants,0.10619469
C1196915447,fashion,0.245363766
C1197304790,barsandrestaurants,0.067256637
C1197304790,fashion,0.192582026
C1199767081,barsandrestaurants,0.134513274
C1199767081,fashion,0.203994294
C1199849921,fashion,0.233951498
C1200227736,fashion,0.008559201
C1200311106,fashion,0.136947218
C1200336063,fashion,0.085592011
C1200798307,barsandrestaurants,0.150442478
C1200798307,fashion,0.336661912
C1201696181,barsandrestaurants,0.578761062
C1201848792,barsandrestaurants,0.192920354
C1201848792,fashion,0.021398003
C1202775726,fashion,0.042796006
C1202857292,barsandrestaurants,0.168141593
C1202857292,fashion,0.029957204
C1203244235,barsandrestaurants,0.028318584
C1203244235,fashion,0.037089872
C1204046804,barsandrestaurants,0.130973451
C1204046804,fashion,0.089871612
C1204610604,barsandrestaurants,0.260176991
C1204610604,fashion,0.116975749
C1204740969,fashion,0.002853067
C1204780618,barsandrestaurants,0.210619469
C1204780618,fashion,0.044222539
C1204835011,fashion,0.029957204
C1205257074,barsandrestaurants,0.097345133
C1205257074,fashion,0.12553495
C1206604144,barsandrestaurants,0.226548673
C1206604144,fashion,0.098430813
C120661238,barsandrestaurants,0.49380531
C120661238,fashion,0.228245364
C1207205377,barsandrestaurants,0.07079646
C1207877529,barsandrestaurants,0.017699115
C1207877529,fashion,0.045649073
C1207935724,fashion,0.07275321
C1208123566,fashion,0.04850214
C1208164294,fashion,0.042796006
C1209363182,fashion,0.604850214
C1209651258,barsandrestaurants,0.198230088
C1209651258,fashion,0.320970043
C1209743372,barsandrestaurants,0.10619469
C1209743372,fashion,0.32382311
C1209838312,barsandrestaurants,0.162831858
C1209838312,fashion,0.018544936
C1210957250,fashion,0.049928673
C1211514218,fashion,0.228245364
C1212956427,barsandrestaurants,0.261946903
C1212956427,fashion,0.17403709
C1213002113,barsandrestaurants,0.111504425
C1213002113,fashion,0.206847361
C1213984358,barsandrestaurants,0.118584071
C1214229415,fashion,0.542082739
C1214279601,fashion,0.369472183
C1214582637,barsandrestaurants,0.295575221
C1214582637,fashion,0.087018545
C1214587699,barsandrestaurants,0.095575221
C1214587699,fashion,0.079885877
C1214628974,fashion,0.131241084
C1214780453,fashion,0.021398003
C1214826221,fashion,0.022824536
C1214828746,barsandrestaurants,0.421238938
C1214828746,fashion,0.184022825
C1214929092,barsandrestaurants,0.120353982
C1214929092,fashion,0.108416548
C1214964999,barsandrestaurants,0.017699115
C1214964999,fashion,0.012838802
C1215440829,barsandrestaurants,0.118584071
C1215440829,fashion,0.07275321
C1215446912,fashion,0.088445078
C1215468370,fashion,0.027104137
C1216409727,barsandrestaurants,0.047787611
C1216409727,fashion,0.084165478
C1216867117,fashion,0.165477889
C1216919532,barsandrestaurants,0.104424779
C121713128,barsandrestaurants,0.017699115
C121713128,fashion,0.054208274
