,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
0,0,0.03,0.0,0.2,0.24,0.15,0.11,0.16,0.12,0.07,0.24,0.0,0.2,0.15,0.14,0.11,0.1,0.1,0.13,0.36,0.0,0.06,0.19,0.06,0.11,0.14,0.09,0.19,0.25,0.0,0.09,0.17,0.08,0.11,0.13,0.04,0.48,0.13,0.0,0.07,0.04,0.23,0.12,0.14,0.16,0.07,0.14,0.0,0.14,0.13,0.13,0.21,0.24,0.11,0.09,0.09,0.0
1,1,0.09,0.0,0.17,0.1,0.16,0.2,0.24,0.04,0.12,0.11,0.0,0.15,0.13,0.28,0.09,0.13,0.07,0.04,0.16,0.0,0.08,0.52,0.08,0.05,0.11,0.14,0.15,0.2,0.0,0.18,0.15,0.08,0.11,0.15,0.11,0.25,0.08,0.0,0.23,0.07,0.13,0.2,0.15,0.15,0.07,0.21,0.0,0.1,0.03,0.25,0.19,0.12,0.09,0.12,0.19,0.0
2,2,0.03,0.0,0.11,0.15,0.43,0.12,0.11,0.05,0.06,0.08,0.0,0.15,0.37,0.2,0.06,0.09,0.05,0.04,0.22,0.0,0.41,0.19,0.06,0.04,0.09,0.14,0.15,0.18,0.0,0.12,0.18,0.13,0.06,0.06,0.1,0.26,0.24,0.0,0.22,0.05,0.1,0.08,0.08,0.06,0.31,0.31,0.0,0.07,0.02,0.16,0.08,0.1,0.39,0.2,0.05,0.0
3,3,0.05,0.0,0.12,0.46,0.24,0.05,0.06,0.03,0.05,0.05,0.0,0.45,0.22,0.07,0.07,0.09,0.05,0.03,0.15,0.0,0.43,0.11,0.14,0.09,0.05,0.1,0.13,0.42,0.0,0.11,0.1,0.09,0.03,0.03,0.02,0.53,0.28,0.0,0.07,0.04,0.04,0.03,0.03,0.61,0.18,0.08,0.0,0.02,0.02,0.03,0.04,0.57,0.27,0.04,0.02,0.0
4,4,0.03,0.0,0.46,0.19,0.1,0.06,0.06,0.1,0.16,0.1,0.0,0.3,0.09,0.21,0.05,0.1,0.05,0.06,0.62,0.0,0.02,0.2,0.04,0.02,0.06,0.13,0.31,0.21,0.0,0.09,0.16,0.05,0.18,0.17,0.19,0.23,0.07,0.0,0.11,0.04,0.36,0.08,0.24,0.07,0.04,0.1,0.0,0.11,0.04,0.21,0.33,0.21,0.07,0.11,0.04,0.0
5,5,0.16,0.0,0.12,0.19,0.1,0.08,0.21,0.14,0.16,0.1,0.0,0.3,0.15,0.1,0.08,0.11,0.09,0.04,0.16,0.0,0.15,0.21,0.23,0.1,0.1,0.08,0.09,0.15,0.0,0.13,0.29,0.15,0.2,0.15,0.05,0.37,0.09,0.0,0.08,0.07,0.09,0.08,0.14,0.37,0.07,0.11,0.0,0.15,0.04,0.13,0.13,0.21,0.14,0.13,0.22,0.0
6,6,0.1,0.0,0.13,0.12,0.12,0.1,0.13,0.29,0.12,0.12,0.0,0.28,0.11,0.11,0.09,0.18,0.23,0.03,0.23,0.0,0.1,0.16,0.08,0.17,0.2,0.05,0.09,0.06,0.0,0.25,0.26,0.08,0.27,0.13,0.05,0.21,0.08,0.0,0.2,0.06,0.24,0.09,0.1,0.18,0.08,0.15,0.0,0.15,0.05,0.08,0.11,0.28,0.21,0.11,0.17,0.0
7,7,0.12,0.0,0.15,0.17,0.21,0.11,0.13,0.11,0.06,0.07,0.0,0.26,0.32,0.09,0.08,0.12,0.1,0.08,0.19,0.0,0.2,0.27,0.08,0.08,0.12,0.09,0.16,0.22,0.0,0.12,0.14,0.15,0.12,0.1,0.09,0.3,0.21,0.0,0.11,0.07,0.19,0.1,0.09,0.21,0.12,0.21,0.0,0.08,0.05,0.09,0.14,0.2,0.35,0.1,0.08,0.0
8,8,0.05,0.0,0.19,0.34,0.22,0.1,0.07,0.04,0.08,0.05,0.0,0.31,0.33,0.09,0.05,0.09,0.07,0.07,0.33,0.0,0.17,0.25,0.08,0.04,0.07,0.06,0.21,0.31,0.0,0.14,0.12,0.09,0.08,0.06,0.12,0.32,0.21,0.0,0.14,0.06,0.1,0.07,0.16,0.25,0.13,0.22,0.0,0.06,0.03,0.08,0.22,0.26,0.23,0.12,0.06,0.0
9,9,0.15,0.0,0.22,0.24,0.12,0.09,0.14,0.03,0.04,0.07,0.0,0.5,0.13,0.14,0.05,0.07,0.07,0.06,0.39,0.0,0.08,0.21,0.08,0.1,0.09,0.09,0.19,0.32,0.0,0.12,0.13,0.06,0.13,0.14,0.09,0.33,0.14,0.0,0.12,0.05,0.13,0.07,0.22,0.2,0.07,0.24,0.0,0.06,0.04,0.1,0.35,0.17,0.08,0.12,0.14,0.0
