,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P1_TO_P8,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P2_TO_P8,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P3_TO_P8,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P4_TO_P8,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P5_TO_P8,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P6_TO_P8,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7,P7_TO_P8,P8_TO_LAPTOP,P8_TO_P1,P8_TO_P2,P8_TO_P3,P8_TO_P4,P8_TO_P5,P8_TO_P6,P8_TO_P7,P8_TO_P8
0,0,0.02,0.0,0.05,0.07,0.08,0.08,0.25,0.17,0.22,0.01,0.01,0.0,0.04,0.17,0.13,0.42,0.1,0.05,0.02,0.0,0.02,0.0,0.27,0.42,0.1,0.04,0.06,0.01,0.04,0.01,0.06,0.0,0.04,0.67,0.02,0.08,0.19,0.22,0.06,0.1,0.15,0.0,0.14,0.05,0.03,0.03,0.02,0.04,0.07,0.54,0.07,0.0,0.07,0.08,0.03,0.08,0.04,0.07,0.17,0.16,0.31,0.0,0.08,0.0,0.03,0.0,0.07,0.1,0.11,0.24,0.38,0.0
1,1,0.0,0.0,0.01,0.05,0.08,0.05,0.06,0.6,0.15,0.03,0.02,0.0,0.05,0.44,0.28,0.06,0.07,0.04,0.02,0.0,0.02,0.0,0.23,0.58,0.02,0.05,0.08,0.03,0.08,0.05,0.45,0.0,0.12,0.09,0.07,0.11,0.16,0.34,0.06,0.08,0.15,0.0,0.14,0.05,0.03,0.03,0.27,0.04,0.04,0.43,0.07,0.0,0.05,0.07,0.02,0.15,0.02,0.06,0.18,0.53,0.01,0.0,0.03,0.0,0.04,0.0,0.06,0.12,0.11,0.36,0.32,0.0
2,2,0.0,0.0,0.0,0.04,0.07,0.06,0.12,0.62,0.08,0.01,0.01,0.0,0.03,0.16,0.17,0.47,0.11,0.05,0.02,0.01,0.02,0.0,0.23,0.41,0.23,0.03,0.05,0.03,0.05,0.02,0.06,0.0,0.28,0.42,0.06,0.07,0.59,0.08,0.01,0.06,0.12,0.0,0.1,0.03,0.0,0.02,0.2,0.11,0.07,0.21,0.26,0.0,0.05,0.09,0.0,0.08,0.01,0.03,0.1,0.26,0.51,0.0,0.02,0.0,0.03,0.0,0.05,0.14,0.14,0.34,0.3,0.0
3,3,0.0,0.0,0.01,0.04,0.08,0.04,0.11,0.67,0.06,0.0,0.0,0.0,0.01,0.07,0.04,0.67,0.16,0.04,0.01,0.01,0.02,0.0,0.18,0.19,0.5,0.04,0.05,0.02,0.07,0.03,0.55,0.0,0.1,0.11,0.05,0.07,0.52,0.12,0.01,0.07,0.12,0.0,0.11,0.03,0.03,0.04,0.13,0.06,0.07,0.31,0.12,0.0,0.1,0.17,0.01,0.09,0.0,0.04,0.09,0.11,0.64,0.0,0.02,0.0,0.04,0.0,0.06,0.12,0.12,0.25,0.41,0.0
4,4,0.0,0.0,0.01,0.04,0.08,0.04,0.11,0.63,0.08,0.0,0.0,0.0,0.01,0.07,0.04,0.64,0.19,0.04,0.01,0.0,0.01,0.0,0.1,0.14,0.65,0.05,0.03,0.09,0.13,0.05,0.21,0.0,0.1,0.18,0.13,0.12,0.34,0.29,0.03,0.08,0.12,0.0,0.09,0.03,0.02,0.03,0.04,0.16,0.3,0.22,0.08,0.0,0.08,0.1,0.03,0.08,0.03,0.13,0.29,0.17,0.21,0.0,0.06,0.0,0.04,0.0,0.06,0.11,0.11,0.33,0.35,0.0
5,5,0.0,0.0,0.04,0.2,0.06,0.04,0.16,0.37,0.12,0.0,0.0,0.0,0.01,0.08,0.04,0.66,0.16,0.04,0.0,0.0,0.01,0.0,0.1,0.18,0.62,0.05,0.03,0.03,0.08,0.03,0.16,0.0,0.08,0.48,0.05,0.1,0.53,0.17,0.02,0.06,0.09,0.0,0.08,0.04,0.01,0.03,0.23,0.06,0.06,0.26,0.11,0.0,0.09,0.15,0.03,0.08,0.04,0.06,0.5,0.17,0.05,0.0,0.07,0.0,0.04,0.0,0.06,0.1,0.11,0.31,0.38,0.0
6,6,0.0,0.0,0.1,0.37,0.02,0.03,0.31,0.0,0.16,0.02,0.02,0.0,0.02,0.14,0.08,0.56,0.12,0.04,0.02,0.01,0.02,0.0,0.24,0.46,0.15,0.03,0.06,0.01,0.06,0.02,0.07,0.0,0.09,0.63,0.03,0.09,0.56,0.1,0.01,0.07,0.12,0.0,0.07,0.05,0.02,0.03,0.18,0.04,0.2,0.24,0.09,0.0,0.08,0.13,0.05,0.07,0.03,0.06,0.51,0.17,0.04,0.0,0.07,0.0,0.04,0.0,0.07,0.11,0.12,0.29,0.36,0.0
7,7,0.0,0.0,0.13,0.37,0.02,0.03,0.33,0.0,0.13,0.0,0.01,0.0,0.01,0.09,0.03,0.66,0.16,0.03,0.03,0.02,0.02,0.0,0.37,0.37,0.05,0.07,0.08,0.02,0.06,0.02,0.26,0.0,0.4,0.08,0.06,0.1,0.06,0.56,0.06,0.07,0.11,0.0,0.06,0.04,0.04,0.02,0.03,0.17,0.3,0.2,0.09,0.0,0.1,0.1,0.03,0.14,0.05,0.06,0.39,0.19,0.06,0.0,0.08,0.0,0.04,0.0,0.07,0.11,0.12,0.32,0.35,0.0
8,8,0.0,0.0,0.08,0.27,0.05,0.06,0.21,0.11,0.21,0.01,0.0,0.0,0.01,0.08,0.03,0.61,0.22,0.04,0.02,0.02,0.02,0.0,0.34,0.37,0.04,0.13,0.06,0.02,0.07,0.03,0.38,0.0,0.23,0.07,0.06,0.15,0.11,0.52,0.06,0.07,0.11,0.0,0.06,0.04,0.03,0.03,0.03,0.2,0.08,0.31,0.11,0.0,0.17,0.08,0.02,0.09,0.02,0.05,0.18,0.33,0.29,0.0,0.03,0.0,0.04,0.0,0.06,0.11,0.11,0.38,0.3,0.0
9,9,0.0,0.0,0.05,0.06,0.08,0.09,0.41,0.03,0.27,0.01,0.0,0.0,0.01,0.08,0.04,0.67,0.15,0.04,0.02,0.0,0.02,0.0,0.13,0.61,0.16,0.03,0.04,0.02,0.06,0.02,0.09,0.0,0.09,0.57,0.05,0.1,0.09,0.2,0.08,0.11,0.17,0.0,0.25,0.06,0.05,0.02,0.01,0.15,0.06,0.62,0.05,0.0,0.05,0.03,0.0,0.07,0.01,0.03,0.11,0.12,0.61,0.0,0.05,0.0,0.03,0.0,0.05,0.13,0.12,0.4,0.27,0.0
