,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6
0,0,0.14,0.0,0.16,0.16,0.25,0.1,0.19,0.18,0.17,0.0,0.22,0.16,0.17,0.1,0.28,0.14,0.11,0.0,0.19,0.2,0.08,0.2,0.07,0.25,0.29,0.0,0.09,0.1,0.07,0.11,0.05,0.22,0.39,0.0,0.16,0.14,0.13,0.18,0.21,0.14,0.2,0.0
1,1,0.13,0.0,0.17,0.15,0.16,0.13,0.25,0.1,0.5,0.0,0.13,0.06,0.09,0.12,0.19,0.5,0.1,0.0,0.07,0.08,0.05,0.15,0.37,0.19,0.1,0.0,0.12,0.08,0.03,0.46,0.25,0.05,0.05,0.0,0.15,0.15,0.37,0.15,0.2,0.07,0.06,0.0
2,2,0.11,0.0,0.18,0.12,0.12,0.12,0.35,0.1,0.28,0.0,0.18,0.07,0.1,0.27,0.31,0.18,0.3,0.0,0.07,0.05,0.08,0.16,0.13,0.2,0.14,0.0,0.05,0.31,0.05,0.39,0.2,0.07,0.06,0.0,0.24,0.21,0.11,0.33,0.25,0.06,0.04,0.0
3,3,0.12,0.0,0.18,0.12,0.12,0.13,0.32,0.11,0.26,0.0,0.26,0.09,0.11,0.18,0.33,0.19,0.25,0.0,0.09,0.06,0.09,0.16,0.17,0.18,0.13,0.0,0.06,0.28,0.04,0.42,0.24,0.09,0.06,0.0,0.15,0.21,0.18,0.22,0.28,0.06,0.06,0.0
4,4,0.09,0.0,0.15,0.16,0.19,0.2,0.22,0.11,0.16,0.0,0.24,0.16,0.17,0.16,0.38,0.12,0.16,0.0,0.13,0.07,0.15,0.1,0.08,0.23,0.3,0.0,0.06,0.23,0.05,0.17,0.07,0.32,0.2,0.0,0.18,0.1,0.11,0.19,0.38,0.08,0.13,0.0
5,5,0.19,0.0,0.19,0.15,0.14,0.16,0.17,0.06,0.25,0.0,0.23,0.12,0.13,0.21,0.23,0.1,0.17,0.0,0.31,0.1,0.09,0.12,0.18,0.17,0.09,0.0,0.06,0.36,0.04,0.19,0.11,0.21,0.27,0.0,0.18,0.22,0.14,0.21,0.21,0.07,0.16,0.0
6,6,0.23,0.0,0.23,0.13,0.11,0.16,0.14,0.1,0.24,0.0,0.14,0.07,0.13,0.32,0.34,0.17,0.28,0.0,0.08,0.06,0.07,0.2,0.1,0.19,0.2,0.0,0.07,0.24,0.06,0.33,0.2,0.18,0.08,0.0,0.15,0.18,0.1,0.34,0.27,0.06,0.05,0.0
7,7,0.15,0.0,0.21,0.17,0.12,0.14,0.22,0.07,0.3,0.0,0.2,0.07,0.11,0.25,0.31,0.21,0.27,0.0,0.07,0.06,0.08,0.14,0.1,0.19,0.12,0.0,0.06,0.39,0.05,0.24,0.27,0.1,0.07,0.0,0.26,0.12,0.16,0.28,0.29,0.07,0.08,0.0
8,8,0.07,0.0,0.17,0.32,0.17,0.1,0.17,0.04,0.1,0.0,0.37,0.17,0.16,0.15,0.21,0.2,0.29,0.0,0.1,0.11,0.09,0.09,0.07,0.19,0.41,0.0,0.04,0.2,0.02,0.18,0.11,0.25,0.37,0.0,0.07,0.08,0.12,0.17,0.39,0.12,0.13,0.0
9,9,0.19,0.0,0.14,0.16,0.23,0.13,0.13,0.05,0.17,0.0,0.31,0.13,0.16,0.18,0.29,0.16,0.15,0.0,0.17,0.15,0.09,0.13,0.2,0.14,0.22,0.0,0.14,0.17,0.04,0.29,0.12,0.17,0.18,0.0,0.2,0.09,0.22,0.18,0.3,0.1,0.11,0.0
10,10,0.14,0.0,0.18,0.19,0.16,0.14,0.19,0.04,0.15,0.0,0.27,0.14,0.25,0.16,0.18,0.09,0.1,0.0,0.24,0.26,0.13,0.1,0.14,0.14,0.35,0.0,0.17,0.09,0.02,0.11,0.15,0.34,0.32,0.0,0.06,0.09,0.16,0.13,0.34,0.06,0.22,0.0
11,11,0.18,0.0,0.17,0.16,0.15,0.18,0.15,0.05,0.28,0.0,0.17,0.07,0.1,0.33,0.4,0.24,0.15,0.0,0.08,0.05,0.07,0.23,0.12,0.2,0.17,0.0,0.06,0.21,0.05,0.35,0.18,0.13,0.11,0.0,0.17,0.09,0.14,0.35,0.3,0.08,0.04,0.0
12,12,0.22,0.0,0.19,0.15,0.12,0.17,0.14,0.08,0.24,0.0,0.18,0.08,0.11,0.32,0.43,0.22,0.16,0.0,0.07,0.04,0.07,0.23,0.08,0.23,0.11,0.0,0.06,0.29,0.11,0.23,0.24,0.05,0.06,0.0,0.31,0.24,0.11,0.29,0.23,0.06,0.06,0.0
13,13,0.11,0.0,0.2,0.22,0.18,0.09,0.19,0.05,0.29,0.0,0.23,0.15,0.12,0.16,0.23,0.28,0.16,0.0,0.16,0.1,0.06,0.13,0.16,0.29,0.3,0.0,0.07,0.05,0.03,0.19,0.15,0.26,0.31,0.0,0.07,0.07,0.21,0.12,0.38,0.12,0.1,0.0
14,14,0.1,0.0,0.22,0.14,0.21,0.12,0.22,0.06,0.21,0.0,0.22,0.11,0.14,0.26,0.37,0.12,0.21,0.0,0.13,0.07,0.1,0.2,0.12,0.18,0.12,0.0,0.19,0.19,0.06,0.36,0.19,0.11,0.12,0.0,0.17,0.13,0.17,0.24,0.31,0.08,0.07,0.0
15,15,0.26,0.0,0.17,0.15,0.18,0.12,0.13,0.08,0.17,0.0,0.3,0.14,0.13,0.17,0.46,0.11,0.12,0.0,0.13,0.06,0.11,0.16,0.12,0.24,0.21,0.0,0.1,0.18,0.07,0.28,0.13,0.14,0.23,0.0,0.15,0.2,0.11,0.19,0.27,0.11,0.13,0.0
16,16,0.12,0.0,0.18,0.13,0.29,0.11,0.17,0.04,0.12,0.0,0.28,0.2,0.18,0.18,0.2,0.09,0.09,0.0,0.23,0.19,0.2,0.08,0.24,0.21,0.18,0.0,0.08,0.21,0.04,0.14,0.1,0.17,0.35,0.0,0.2,0.13,0.14,0.16,0.18,0.17,0.22,0.0
17,17,0.06,0.0,0.25,0.23,0.21,0.07,0.17,0.04,0.17,0.0,0.34,0.18,0.11,0.16,0.13,0.21,0.18,0.0,0.18,0.11,0.18,0.06,0.1,0.38,0.23,0.0,0.04,0.19,0.03,0.13,0.11,0.26,0.36,0.0,0.11,0.07,0.2,0.22,0.22,0.21,0.08,0.0
18,18,0.1,0.0,0.23,0.22,0.2,0.09,0.16,0.05,0.2,0.0,0.26,0.1,0.13,0.26,0.31,0.25,0.19,0.0,0.1,0.06,0.09,0.14,0.16,0.21,0.28,0.0,0.09,0.13,0.05,0.24,0.17,0.22,0.21,0.0,0.11,0.13,0.14,0.23,0.35,0.07,0.09,0.0
19,19,0.13,0.0,0.2,0.18,0.18,0.14,0.18,0.06,0.2,0.0,0.25,0.11,0.12,0.26,0.21,0.25,0.24,0.0,0.11,0.08,0.1,0.16,0.16,0.21,0.11,0.0,0.14,0.22,0.05,0.26,0.16,0.17,0.16,0.0,0.19,0.17,0.14,0.28,0.21,0.1,0.11,0.0
20,20,0.11,0.0,0.15,0.17,0.11,0.25,0.22,0.06,0.13,0.0,0.33,0.1,0.2,0.19,0.27,0.16,0.11,0.0,0.13,0.22,0.11,0.06,0.11,0.13,0.21,0.0,0.23,0.27,0.04,0.2,0.08,0.12,0.27,0.0,0.3,0.11,0.14,0.12,0.3,0.13,0.21,0.0
21,21,0.07,0.0,0.16,0.29,0.13,0.17,0.17,0.04,0.08,0.0,0.47,0.1,0.17,0.14,0.2,0.24,0.12,0.0,0.22,0.13,0.08,0.06,0.07,0.2,0.47,0.0,0.11,0.09,0.03,0.17,0.18,0.3,0.13,0.0,0.19,0.06,0.18,0.13,0.45,0.08,0.1,0.0
