,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5
0,0,0.16,0.0,0.28,0.26,0.15,0.14,0.37,0.2,0.0,0.09,0.21,0.13,0.1,0.14,0.53,0.0,0.2,0.03,0.1,0.22,0.33,0.28,0.0,0.07,0.17,0.14,0.39,0.13,0.17,0.0
1,1,0.14,0.0,0.36,0.2,0.18,0.12,0.38,0.2,0.0,0.1,0.17,0.16,0.15,0.16,0.49,0.0,0.19,0.02,0.13,0.23,0.33,0.23,0.0,0.08,0.12,0.22,0.29,0.14,0.22,0.0
2,2,0.26,0.0,0.32,0.12,0.16,0.14,0.43,0.11,0.0,0.06,0.3,0.11,0.18,0.14,0.42,0.0,0.21,0.05,0.31,0.2,0.25,0.14,0.0,0.1,0.31,0.14,0.35,0.11,0.09,0.0
3,3,0.24,0.0,0.36,0.11,0.18,0.12,0.34,0.23,0.0,0.13,0.16,0.14,0.09,0.11,0.45,0.0,0.31,0.04,0.06,0.2,0.34,0.33,0.0,0.07,0.11,0.13,0.5,0.18,0.08,0.0
4,4,0.39,0.0,0.22,0.1,0.14,0.15,0.48,0.18,0.0,0.09,0.12,0.13,0.13,0.09,0.41,0.0,0.28,0.09,0.17,0.19,0.21,0.34,0.0,0.09,0.32,0.13,0.28,0.16,0.12,0.0
5,5,0.34,0.0,0.16,0.12,0.24,0.14,0.58,0.12,0.0,0.08,0.11,0.12,0.17,0.16,0.37,0.0,0.23,0.07,0.17,0.16,0.17,0.4,0.0,0.1,0.25,0.17,0.19,0.25,0.14,0.0
6,6,0.31,0.0,0.21,0.12,0.22,0.14,0.38,0.18,0.0,0.09,0.22,0.12,0.17,0.18,0.31,0.0,0.26,0.07,0.1,0.22,0.23,0.29,0.0,0.17,0.14,0.16,0.23,0.35,0.11,0.0
7,7,0.34,0.0,0.17,0.07,0.23,0.19,0.42,0.18,0.0,0.08,0.16,0.16,0.17,0.16,0.31,0.0,0.25,0.11,0.21,0.18,0.16,0.27,0.0,0.18,0.26,0.2,0.22,0.2,0.12,0.0
8,8,0.23,0.0,0.14,0.14,0.11,0.38,0.15,0.4,0.0,0.17,0.09,0.2,0.09,0.16,0.37,0.0,0.25,0.13,0.05,0.14,0.16,0.29,0.0,0.35,0.16,0.16,0.15,0.45,0.08,0.0
9,9,0.25,0.0,0.25,0.07,0.27,0.16,0.24,0.34,0.0,0.1,0.22,0.1,0.08,0.13,0.46,0.0,0.29,0.04,0.13,0.24,0.29,0.26,0.0,0.08,0.15,0.26,0.24,0.15,0.2,0.0
10,10,0.2,0.0,0.11,0.07,0.52,0.1,0.16,0.34,0.0,0.11,0.3,0.08,0.09,0.13,0.17,0.0,0.57,0.04,0.08,0.24,0.23,0.31,0.0,0.14,0.22,0.12,0.15,0.2,0.31,0.0
11,11,0.26,0.0,0.14,0.09,0.34,0.16,0.27,0.18,0.0,0.1,0.26,0.19,0.14,0.13,0.25,0.0,0.41,0.08,0.13,0.21,0.2,0.3,0.0,0.16,0.11,0.11,0.29,0.32,0.17,0.0
12,12,0.27,0.0,0.2,0.24,0.13,0.16,0.23,0.34,0.0,0.15,0.14,0.13,0.16,0.12,0.42,0.0,0.22,0.07,0.12,0.19,0.22,0.33,0.0,0.13,0.17,0.17,0.4,0.15,0.11,0.0
13,13,0.1,0.0,0.22,0.47,0.12,0.09,0.21,0.37,0.0,0.14,0.16,0.12,0.07,0.1,0.52,0.0,0.26,0.06,0.06,0.2,0.47,0.2,0.0,0.07,0.1,0.11,0.6,0.11,0.07,0.0
14,14,0.21,0.0,0.34,0.11,0.22,0.12,0.39,0.11,0.0,0.07,0.31,0.12,0.11,0.11,0.53,0.0,0.2,0.05,0.17,0.22,0.32,0.21,0.0,0.08,0.11,0.08,0.34,0.19,0.27,0.0
15,15,0.17,0.0,0.3,0.24,0.19,0.1,0.37,0.17,0.0,0.08,0.24,0.15,0.13,0.12,0.43,0.0,0.27,0.05,0.27,0.23,0.22,0.15,0.0,0.12,0.17,0.12,0.2,0.14,0.37,0.0
16,16,0.22,0.0,0.31,0.17,0.18,0.13,0.36,0.17,0.0,0.08,0.23,0.16,0.23,0.12,0.44,0.0,0.18,0.03,0.28,0.21,0.26,0.16,0.0,0.1,0.18,0.14,0.29,0.16,0.23,0.0
17,17,0.2,0.0,0.29,0.14,0.21,0.16,0.33,0.15,0.0,0.09,0.31,0.12,0.14,0.13,0.52,0.0,0.17,0.03,0.17,0.2,0.29,0.21,0.0,0.14,0.11,0.09,0.32,0.16,0.33,0.0
18,18,0.15,0.0,0.32,0.16,0.26,0.1,0.24,0.1,0.0,0.06,0.51,0.1,0.11,0.13,0.49,0.0,0.23,0.03,0.16,0.19,0.28,0.25,0.0,0.11,0.11,0.13,0.26,0.23,0.27,0.0
19,19,0.13,0.0,0.33,0.21,0.23,0.1,0.14,0.18,0.0,0.09,0.46,0.13,0.08,0.12,0.46,0.0,0.3,0.04,0.13,0.23,0.27,0.25,0.0,0.12,0.13,0.17,0.27,0.21,0.21,0.0
20,20,0.13,0.0,0.3,0.23,0.2,0.15,0.2,0.18,0.0,0.11,0.33,0.18,0.07,0.17,0.44,0.0,0.24,0.09,0.04,0.24,0.27,0.3,0.0,0.15,0.19,0.2,0.21,0.16,0.25,0.0
21,21,0.2,0.0,0.25,0.11,0.15,0.3,0.23,0.32,0.0,0.09,0.21,0.15,0.09,0.25,0.3,0.0,0.23,0.13,0.05,0.33,0.21,0.22,0.0,0.18,0.15,0.25,0.21,0.16,0.23,0.0
22,22,0.21,0.0,0.22,0.16,0.22,0.19,0.18,0.27,0.0,0.13,0.24,0.17,0.1,0.22,0.28,0.0,0.22,0.19,0.09,0.32,0.2,0.18,0.0,0.21,0.11,0.29,0.19,0.22,0.19,0.0
23,23,0.23,0.0,0.22,0.1,0.16,0.29,0.37,0.13,0.0,0.08,0.25,0.17,0.1,0.2,0.34,0.0,0.24,0.13,0.13,0.24,0.27,0.2,0.0,0.15,0.17,0.19,0.41,0.14,0.09,0.0
24,24,0.21,0.0,0.17,0.07,0.2,0.35,0.26,0.09,0.0,0.06,0.29,0.31,0.08,0.08,0.25,0.0,0.38,0.2,0.13,0.19,0.18,0.13,0.0,0.36,0.14,0.18,0.36,0.15,0.18,0.0
25,25,0.2,0.0,0.39,0.09,0.19,0.13,0.38,0.14,0.0,0.07,0.28,0.12,0.1,0.13,0.48,0.0,0.25,0.04,0.08,0.23,0.37,0.25,0.0,0.07,0.08,0.09,0.44,0.18,0.21,0.0
